Outlier,Imputer,Scaler,RMSE,MSE,MAE,R2,SampleCount,FoldCount,Dataset
boxcox,knn,unit_vector,12.197029198058031,173.86349960850248,9.539163050000003,0.4071957526076918,20,5,Titanic
boxcox,most_frequent,none,12.094773814871626,162.53187197248562,9.719701650000001,0.3657858845803631,20,5,Titanic
boxcox,most_frequent,standard,12.094773814871626,162.53187197248562,9.719701650000001,0.3657858845803631,20,5,Titanic
boxcox,most_frequent,minmax,12.094773814871626,162.53187197248562,9.719701650000001,0.3657858845803631,20,5,Titanic
boxcox,most_frequent,robust,12.094773814871626,162.53187197248562,9.719701650000001,0.3657858845803631,20,5,Titanic
boxcox,most_frequent,quantile,11.625448933187597,153.9987890100968,9.337527000000003,0.4083769980363047,20,5,Titanic
boxcox,most_frequent,unit_vector,12.088326998817779,172.05089614299348,9.491400300000004,0.4204015790445227,20,5,Titanic
boxcox,constant_zero,none,11.930526177081152,159.27015376466102,9.246758250000003,0.3833716304965925,20,5,Titanic
boxcox,constant_zero,standard,11.930526177081152,159.27015376466102,9.246758250000003,0.3833716304965925,20,5,Titanic
boxcox,constant_zero,minmax,11.930526177081152,159.27015376466102,9.246758250000003,0.3833716304965925,20,5,Titanic
boxcox,constant_zero,robust,11.930526177081152,159.27015376466102,9.246758250000003,0.3833716304965925,20,5,Titanic
boxcox,constant_zero,quantile,11.555876128653827,153.00727648059865,8.946681900000002,0.418284381322269,20,5,Titanic
boxcox,constant_zero,unit_vector,11.990469904686462,169.83548781619902,9.356608850000004,0.43203367556649386,20,5,Titanic
boxcox,iterative,none,12.125158417286674,162.79205729703085,9.582383550000001,0.3512327772230325,20,5,Titanic
boxcox,iterative,standard,12.125158417286674,162.79205729703085,9.582383550000001,0.3512327772230325,20,5,Titanic
boxcox,iterative,minmax,12.125158417286674,162.79205729703085,9.582383550000001,0.3512327772230325,20,5,Titanic
boxcox,iterative,robust,12.125158417286674,162.79205729703085,9.582383550000001,0.3512327772230325,20,5,Titanic
boxcox,iterative,quantile,11.727765099392395,154.7479326752587,9.295252549999997,0.38426309555783195,20,5,Titanic
boxcox,iterative,unit_vector,12.17248365647448,173.976350358371,9.553390400000001,0.41244453835475686,20,5,Titanic
boxcox,drop,none,13.467699438566536,221.43429115243143,10.936520716666669,-0.8955315914899489,17,5,Titanic
boxcox,drop,standard,13.467699438566536,221.43429115243143,10.936520716666669,-0.8955315914899489,17,5,Titanic
boxcox,drop,minmax,13.467699438566536,221.43429115243143,10.936520716666669,-0.8955315914899489,17,5,Titanic
boxcox,drop,robust,13.467699438566536,221.43429115243143,10.936520716666669,-0.8955315914899489,17,5,Titanic
boxcox,drop,quantile,13.599680210826184,222.73911479287352,11.034409000000004,-0.925439695273457,17,5,Titanic
boxcox,drop,unit_vector,15.084477356858605,272.315142201708,12.674039933333335,-1.4316866247144948,17,5,Titanic
yeojohnson,mean,none,12.194897081512863,164.426682179868,9.823233149999998,0.34956809586488213,20,5,Titanic
yeojohnson,mean,standard,12.194897081512863,164.426682179868,9.823233149999998,0.34956809586488213,20,5,Titanic
yeojohnson,mean,minmax,12.194897081512863,164.426682179868,9.823233149999998,0.34956809586488213,20,5,Titanic
yeojohnson,mean,robust,12.194897081512863,164.426682179868,9.823233149999998,0.34956809586488213,20,5,Titanic
yeojohnson,mean,quantile,11.699678274436106,154.5835240986665,9.414483749999999,0.3943922993742803,20,5,Titanic
yeojohnson,mean,unit_vector,10.80299032662103,135.24313965250076,8.727876100000001,0.42843807148391877,20,5,Titanic
yeojohnson,median,none,12.244435154717273,165.2405676326368,9.861116849999998,0.3390404765907601,20,5,Titanic
yeojohnson,median,standard,12.244435154717273,165.2405676326368,9.861116849999998,0.3390404765907601,20,5,Titanic
yeojohnson,median,minmax,12.235660779329695,165.1001952894712,9.855250149999998,0.34054467775227143,20,5,Titanic
yeojohnson,median,robust,12.235660779329695,165.1001952894712,9.855250149999998,0.34054467775227143,20,5,Titanic
